Timestamp;Value;Type
3:58:47 PM.106;Di-\r\n;received
3:58:47 PM.106;0 cm\r\n;received
3:58:47 PM.106;LED1 (Green 1): OFF\r\n;received
3:58:47 PM.106;LED2 (Green 2): OFF\r\n;received
3:58:47 PM.106;LED3 (Yellow): OFF\r\n;received
3:58:47 PM.106;LED4 (Red 1): OFF\r\n;received
3:58:47 PM.106;LED5 (Red 2): ON\r\n;received
3:58:47 PM.106;--------------------\r\n;received
3:58:48 PM.833;Distance: 0 cm\r\n;received
3:58:48 PM.850;LED1 (Green 1): OFF\r\n;received
3:58:48 PM.865;LED2 (Green 2): OFF\r\n;received
3:58:48 PM.896;LED3 (Yellow): OFF\r\n;received
3:58:48 PM.913;LED4 (Red 1): OFF\r\n;received
3:58:48 PM.929;LED5 (Red 2): ON\r\n;received
3:58:48 PM.961;--------------------\r\n;received
3:58:49 PM.952;Distance: 6 cm\r\n;received
3:58:49 PM.985;LED1 (Green 1): OFF\r\n;received
3:58:50 PM.1;LED2 (Green 2): OFF\r\n;received
3:58:50 PM.35;LED3 (Yellow): OFF\r\n;received
3:58:50 PM.48;LED4 (Red 1): OFF\r\n;received
3:58:50 PM.65;LED5 (Red 2): ON\r\n;received
3:58:50 PM.81;--------------------\r\n;received
3:58:51 PM.88;Distance: 0 cm\r\n;received
3:58:51 PM.121;LED1 (Green 1): OFF\r\n;received
3:58:51 PM.137;LED2 (Green 2): OFF\r\n;received
3:58:51 PM.153;LED3 (Yellow): OFF\r\n;received
3:58:51 PM.185;LED4 (Red 1): OFF\r\n;received
3:58:51 PM.201;LED5 (Red 2): ON\r\n;received
3:58:51 PM.217;--------------------\r\n;received
3:58:52 PM.227;Distance: 0 cm\r\n;received
3:58:52 PM.257;LED1 (Green 1): OFF\r\n;received
3:58:52 PM.272;LED2 (Green 2): OFF\r\n;received
3:58:52 PM.291;LED3 (Yellow): OFF\r\n;received
3:58:52 PM.321;LED4 (Red 1): OFF\r\n;received
3:58:52 PM.337;LED5 (Red 2): ON\r\n;received
3:58:52 PM.357;--------------------\r\n;received
3:58:53 PM.361;Distance: 15 cm\r\n;received
3:58:53 PM.377;LED1 (Green 1): OFF\r\n;received
3:58:53 PM.408;LED2 (Green 2): OFF\r\n;received
3:58:53 PM.424;LED3 (Yellow): OFF\r\n;received
3:58:53 PM.441;LED4 (Red 1): ON\r\n;received
3:58:53 PM.457;LED5 (Red 2): OFF\r\n;received
3:58:53 PM.489;--------------------\r\n;received
3:58:54 PM.498;Distance: 0 cm\r\n;received
3:58:54 PM.512;LED1 (Green 1): OFF\r\n;received
3:58:54 PM.545;LED2 (Green 2): OFF\r\n;received
3:58:54 PM.561;LED3 (Yellow): OFF\r\n;received
3:58:54 PM.577;LED4 (Red 1): OFF\r\n;received
3:58:54 PM.609;LED5 (Red 2): ON\r\n;received
3:58:54 PM.625;--------------------\r\n;received
3:58:55 PM.633;Distance: 0 cm\r\n;received
3:58:55 PM.665;LED1 (Green 1): OFF\r\n;received
3:58:55 PM.681;LED2 (Green 2): OFF\r\n;received
3:58:55 PM.696;LED3 (Yellow): OFF\r\n;received
3:58:55 PM.712;LED4 (Red 1): OFF\r\n;received
3:58:55 PM.745;LED5 (Red 2): ON\r\n;received
3:58:55 PM.761;--------------------\r\n;received
3:58:56 PM.769;Distance: 0 cm\r\n;received
3:58:56 PM.801;LED1 (Green 1): OFF\r\n;received
3:58:56 PM.817;LED2 (Green 2): OFF\r\n;received
3:58:56 PM.833;LED3 (Yellow): OFF\r\n;received
3:58:56 PM.865;LED4 (Red 1): OFF\r\n;received
3:58:56 PM.880;LED5 (Red 2): ON\r\n;received
3:58:56 PM.896;--------------------\r\n;received
3:58:57 PM.905;Distance: 13 cm\r\n;received
3:58:57 PM.921;LED1 (Green 1): OFF\r\n;received
3:58:57 PM.936;LED2 (Green 2): OFF\r\n;received
3:58:57 PM.969;LED3 (Yellow): OFF\r\n;received
3:58:57 PM.985;LED4 (Red 1): ON\r\n;received
3:58:58 PM.1;LED5 (Red 2): OFF\r\n;received
3:58:58 PM.33;--------------------\r\n;received
3:58:59 PM.26;Distance: 15 cm\r\n;received
3:58:59 PM.57;LED1 (Green 1): OFF\r\n;received
3:58:59 PM.73;LED2 (Green 2): OFF\r\n;received
3:58:59 PM.89;LED3 (Yellow): OFF\r\n;received
3:58:59 PM.121;LED4 (Red 1): ON\r\n;received
3:58:59 PM.136;LED5 (Red 2): OFF\r\n;received
3:58:59 PM.153;--------------------\r\n;received
3:59:00 PM.161;Distance: 12 cm\r\n;received
3:59:00 PM.176;LED1 (Green 1): OFF\r\n;received
3:59:00 PM.193;LED2 (Green 2): OFF\r\n;received
3:59:00 PM.225;LED3 (Yellow): OFF\r\n;received
3:59:00 PM.241;LED4 (Red 1): ON\r\n;received
3:59:00 PM.257;LED5 (Red 2): OFF\r\n;received
3:59:00 PM.289;--------------------\r\n;received
3:59:01 PM.281;Distance: 19 cm\r\n;received
3:59:01 PM.313;LED1 (Green 1): OFF\r\n;received
3:59:01 PM.329;LED2 (Green 2): OFF\r\n;received
3:59:01 PM.347;LED3 (Yellow): OFF\r\n;received
3:59:01 PM.381;LED4 (Red 1): ON\r\n;received
3:59:01 PM.392;LED5 (Red 2): OFF\r\n;received
3:59:01 PM.409;--------------------\r\n;received
3:59:02 PM.417;Distance: 14 cm\r\n;received
3:59:02 PM.433;LED1 (Green 1): OFF\r\n;received
3:59:02 PM.465;LED2 (Green 2): OFF\r\n;received
3:59:02 PM.481;LED3 (Yellow): OFF\r\n;received
3:59:02 PM.497;LED4 (Red 1): ON\r\n;received
3:59:02 PM.513;LED5 (Red 2): OFF\r\n;received
3:59:02 PM.544;--------------------\r\n;received
3:59:03 PM.537;Distance: 19 cm\r\n;received
3:59:03 PM.569;LED1 (Green 1): OFF\r\n;received
3:59:03 PM.584;LED2 (Green 2): OFF\r\n;received
3:59:03 PM.600;LED3 (Yellow): OFF\r\n;received
3:59:03 PM.633;LED4 (Red 1): ON\r\n;received
3:59:03 PM.649;LED5 (Red 2): OFF\r\n;received
3:59:03 PM.665;--------------------\r\n;received
3:59:04 PM.689;Distance: 0 cm\r\n;received
3:59:04 PM.705;LED1 (Green 1): OFF\r\n;received
3:59:04 PM.721;LED2 (Green 2): OFF\r\n;received
3:59:04 PM.753;LED3 (Yellow): OFF\r\n;received
3:59:04 PM.769;LED4 (Red 1): OFF\r\n;received
3:59:04 PM.784;LED5 (Red 2): ON\r\n;received
3:59:04 PM.800;--------------------\r\n;received
3:59:05 PM.825;Distance: 0 cm\r\n;received
3:59:05 PM.841;LED1 (Green 1): OFF\r\n;received
3:59:05 PM.873;LED2 (Green 2): OFF\r\n;received
3:59:05 PM.889;LED3 (Yellow): OFF\r\n;received
3:59:05 PM.905;LED4 (Red 1): OFF\r\n;received
3:59:05 PM.921;LED5 (Red 2): ON\r\n;received
3:59:05 PM.952;--------------------\r\n;received
3:59:06 PM.961;Distance: 0 cm\r\n;received
3:59:06 PM.977;LED1 (Green 1): OFF\r\n;received
3:59:07 PM.8;LED2 (Green 2): OFF\r\n;received
3:59:07 PM.24;LED3 (Yellow): OFF\r\n;received
3:59:07 PM.41;LED4 (Red 1): OFF\r\n;received
3:59:07 PM.56;LED5 (Red 2): ON\r\n;received
3:59:07 PM.89;--------------------\r\n;received
3:59:08 PM.97;Distance: 22 cm\r\n;received
3:59:08 PM.113;LED1 (Green 1): OFF\r\n;received
3:59:08 PM.128;LED2 (Green 2): OFF\r\n;received
3:59:08 PM.145;LED3 (Yellow): ON\r\n;received
3:59:08 PM.177;LED4 (Red 1): OFF\r\n;received
3:59:08 PM.193;LED5 (Red 2): OFF\r\n;received
3:59:08 PM.209;--------------------\r\n;received
3:59:09 PM.218;Distance: 20 cm\r\n;received
3:59:09 PM.232;LED1 (Green 1): OFF\r\n;received
3:59:09 PM.265;LED2 (Green 2): OFF\r\n;received
3:59:09 PM.280;LED3 (Yellow): OFF\r\n;received
3:59:09 PM.297;LED4 (Red 1): ON\r\n;received
3:59:09 PM.313;LED5 (Red 2): OFF\r\n;received
3:59:09 PM.345;--------------------\r\n;received
3:59:10 PM.354;Distance: 24 cm\r\n;received
3:59:10 PM.369;LED1 (Green 1): OFF\r\n;received
3:59:10 PM.385;LED2 (Green 2): OFF\r\n;received
3:59:10 PM.401;LED3 (Yellow): ON\r\n;received
3:59:10 PM.432;LED4 (Red 1): OFF\r\n;received
3:59:10 PM.448;LED5 (Red 2): OFF\r\n;received
3:59:10 PM.465;--------------------\r\n;received
3:59:11 PM.489;Distance: 0 cm\r\n;received
3:59:11 PM.506;LED1 (Green 1): OFF\r\n;received
3:59:11 PM.521;LED2 (Green 2): OFF\r\n;received
3:59:11 PM.553;LED3 (Yellow): OFF\r\n;received
3:59:11 PM.569;LED4 (Red 1): OFF\r\n;received
3:59:11 PM.585;LED5 (Red 2): ON\r\n;received
3:59:11 PM.601;--------------------\r\n;received
3:59:12 PM.626;Distance: 0 cm\r\n;received
3:59:12 PM.641;LED1 (Green 1): OFF\r\n;received
3:59:12 PM.657;LED2 (Green 2): OFF\r\n;received
3:59:12 PM.689;LED3 (Yellow): OFF\r\n;received
3:59:12 PM.705;LED4 (Red 1): OFF\r\n;received
3:59:12 PM.721;LED5 (Red 2): ON\r\n;received
3:59:12 PM.753;--------------------\r\n;received
3:59:13 PM.744;Distance: 24 cm\r\n;received
3:59:13 PM.777;LED1 (Green 1): OFF\r\n;received
3:59:13 PM.793;LED2 (Green 2): OFF\r\n;received
3:59:13 PM.808;LED3 (Yellow): ON\r\n;received
3:59:13 PM.841;LED4 (Red 1): OFF\r\n;received
3:59:13 PM.856;LED5 (Red 2): OFF\r\n;received
3:59:13 PM.872;--------------------\r\n;received
3:59:14 PM.881;Distance: 24 cm\r\n;received
3:59:14 PM.896;LED1 (Green 1): OFF\r\n;received
3:59:14 PM.929;LED2 (Green 2): OFF\r\n;received
3:59:14 PM.945;LED3 (Yellow): ON\r\n;received
3:59:14 PM.961;LED4 (Red 1): OFF\r\n;received
3:59:14 PM.977;LED5 (Red 2): OFF\r\n;received
3:59:15 PM.9;--------------------\r\n;received
3:59:16 PM.17;Distance: 0 cm\r\n;received
3:59:16 PM.33;LED1 (Green 1): OFF\r\n;received
3:59:16 PM.65;LED2 (Green 2): OFF\r\n;received
3:59:16 PM.80;LED3 (Yellow): OFF\r\n;received
3:59:16 PM.97;LED4 (Red 1): OFF\r\n;received
3:59:16 PM.129;LED5 (Red 2): ON\r\n;received
3:59:16 PM.145;--------------------\r\n;received
3:59:17 PM.153;Distance: 28 cm\r\n;received
3:59:17 PM.169;LED1 (Green 1): OFF\r\n;received
3:59:17 PM.185;LED2 (Green 2): OFF\r\n;received
3:59:17 PM.217;LED3 (Yellow): ON\r\n;received
3:59:17 PM.233;LED4 (Red 1): OFF\r\n;received
3:59:17 PM.249;LED5 (Red 2): OFF\r\n;received
3:59:17 PM.264;--------------------\r\n;received
3:59:18 PM.273;Distance: 30 cm\r\n;received
3:59:18 PM.289;LED1 (Green 1): OFF\r\n;received
3:59:18 PM.321;LED2 (Green 2): OFF\r\n;received
3:59:18 PM.337;LED3 (Yellow): ON\r\n;received
3:59:18 PM.353;LED4 (Red 1): OFF\r\n;received
3:59:18 PM.385;LED5 (Red 2): OFF\r\n;received
3:59:18 PM.401;--------------------\r\n;received
3:59:19 PM.409;Distance: 33 cm\r\n;received
3:59:19 PM.425;LED1 (Green 1): OFF\r\n;received
3:59:19 PM.441;LED2 (Green 2): ON\r\n;received
3:59:19 PM.473;LED3 (Yellow): OFF\r\n;received
3:59:19 PM.488;LED4 (Red 1): OFF\r\n;received
3:59:19 PM.505;LED5 (Red 2): OFF\r\n;received
3:59:19 PM.537;--------------------\r\n;received
3:59:20 PM.529;Distance: 33 cm\r\n;received
3:59:20 PM.561;LED1 (Green 1): OFF\r\n;received
3:59:20 PM.577;LED2 (Green 2): ON\r\n;received
3:59:20 PM.593;LED3 (Yellow): OFF\r\n;received
3:59:20 PM.626;LED4 (Red 1): OFF\r\n;received
3:59:20 PM.641;LED5 (Red 2): OFF\r\n;received
3:59:20 PM.657;--------------------\r\n;received
3:59:21 PM.681;Distance: 0 cm\r\n;received
3:59:21 PM.696;LED1 (Green 1): OFF\r\n;received
3:59:21 PM.712;LED2 (Green 2): OFF\r\n;received
3:59:21 PM.728;LED3 (Yellow): OFF\r\n;received
3:59:21 PM.761;LED4 (Red 1): OFF\r\n;received
3:59:21 PM.776;LED5 (Red 2): ON\r\n;received
3:59:21 PM.793;--------------------\r\n;received
3:59:22 PM.801;Distance: 38 cm\r\n;received
3:59:22 PM.833;LED1 (Green 1): OFF\r\n;received
3:59:22 PM.849;LED2 (Green 2): ON\r\n;received
3:59:22 PM.865;LED3 (Yellow): OFF\r\n;received
3:59:22 PM.881;LED4 (Red 1): OFF\r\n;received
3:59:22 PM.912;LED5 (Red 2): OFF\r\n;received
3:59:22 PM.929;--------------------\r\n;received
3:59:23 PM.937;Distance: 36 cm\r\n;received
3:59:23 PM.953;LED1 (Green 1): OFF\r\n;received
3:59:23 PM.969;LED2 (Green 2): ON\r\n;received
3:59:24 PM.1;LED3 (Yellow): OFF\r\n;received
3:59:24 PM.17;LED4 (Red 1): OFF\r\n;received
3:59:24 PM.33;LED5 (Red 2): OFF\r\n;received
3:59:24 PM.65;--------------------\r\n;received
3:59:25 PM.73;Distance: 0 cm\r\n;received
3:59:25 PM.89;LED1 (Green 1): OFF\r\n;received
3:59:25 PM.121;LED2 (Green 2): OFF\r\n;received
3:59:25 PM.136;LED3 (Yellow): OFF\r\n;received
3:59:25 PM.153;LED4 (Red 1): OFF\r\n;received
3:59:25 PM.168;LED5 (Red 2): ON\r\n;received
3:59:25 PM.200;--------------------\r\n;received
3:59:26 PM.210;Distance: 0 cm\r\n;received
3:59:26 PM.225;LED1 (Green 1): OFF\r\n;received
3:59:26 PM.257;LED2 (Green 2): OFF\r\n;received
3:59:26 PM.273;LED3 (Yellow): OFF\r\n;received
3:59:26 PM.289;LED4 (Red 1): OFF\r\n;received
3:59:26 PM.305;LED5 (Red 2): ON\r\n;received
3:59:26 PM.337;--------------------\r\n;received
3:59:27 PM.345;Distance: 41 cm\r\n;received
3:59:27 PM.360;LED1 (Green 1): ON\r\n;received
3:59:27 PM.377;LED2 (Green 2): OFF\r\n;received
3:59:27 PM.393;LED3 (Yellow): OFF\r\n;received
3:59:27 PM.425;LED4 (Red 1): OFF\r\n;received
3:59:27 PM.441;LED5 (Red 2): OFF\r\n;received
3:59:27 PM.473;--------------------\r\n;received
3:59:28 PM.466;Distance: 42 cm\r\n;received
3:59:28 PM.497;LED1 (Green 1): ON\r\n;received
3:59:28 PM.513;LED2 (Green 2): OFF\r\n;received
3:59:28 PM.529;LED3 (Yellow): OFF\r\n;received
3:59:28 PM.545;LED4 (Red 1): OFF\r\n;received
3:59:28 PM.577;LED5 (Red 2): OFF\r\n;received
3:59:28 PM.593;--------------------\r\n;received
3:59:29 PM.601;Distance: 45 cm\r\n;received
3:59:29 PM.617;LED1 (Green 1): ON\r\n;received
3:59:29 PM.650;LED2 (Green 2): OFF\r\n;received
3:59:29 PM.665;LED3 (Yellow): OFF\r\n;received
3:59:29 PM.681;LED4 (Red 1): OFF\r\n;received
3:59:29 PM.697;LED5 (Red 2): OFF\r\n;received
3:59:29 PM.729;--------------------\r\n;received
3:59:30 PM.737;Distance: 0 cm\r\n;received
3:59:30 PM.753;LED1 (Green 1): OFF\r\n;received
3:59:30 PM.784;LED2 (Green 2): OFF\r\n;received
3:59:30 PM.800;LED3 (Yellow): OFF\r\n;received
3:59:30 PM.816;LED4 (Red 1): OFF\r\n;received
3:59:30 PM.849;LED5 (Red 2): ON\r\n;received
3:59:30 PM.865;--------------------\r\n;received
3:59:31 PM.873;Distance: 47 cm\r\n;received
3:59:31 PM.889;LED1 (Green 1): ON\r\n;received
3:59:31 PM.905;LED2 (Green 2): OFF\r\n;received
3:59:31 PM.937;LED3 (Yellow): OFF\r\n;received
3:59:31 PM.953;LED4 (Red 1): OFF\r\n;received
3:59:31 PM.969;LED5 (Red 2): OFF\r\n;received
3:59:31 PM.984;--------------------\r\n;received
3:59:32 PM.994;Distance: 48 cm\r\n;received
3:59:33 PM.25;LED1 (Green 1): ON\r\n;received
3:59:33 PM.41;LED2 (Green 2): OFF\r\n;received
3:59:33 PM.56;LED3 (Yellow): OFF\r\n;received
3:59:33 PM.89;LED4 (Red 1): OFF\r\n;received
3:59:33 PM.104;LED5 (Red 2): OFF\r\n;received
3:59:33 PM.121;--------------------\r\n;received
3:59:34 PM.130;Distance: 46 cm\r\n;received
3:59:34 PM.146;LED1 (Green 1): ON\r\n;received
3:59:34 PM.177;LED2 (Green 2): OFF\r\n;received
3:59:34 PM.193;LED3 (Yellow): OFF\r\n;received
3:59:34 PM.208;LED4 (Red 1): OFF\r\n;received
3:59:34 PM.225;LED5 (Red 2): OFF\r\n;received
3:59:34 PM.256;--------------------\r\n;received
3:59:35 PM.249;Distance: 48 cm\r\n;received
3:59:35 PM.281;LED1 (Green 1): ON\r\n;received
3:59:35 PM.297;LED2 (Green 2): OFF\r\n;received
3:59:35 PM.329;LED3 (Yellow): OFF\r\n;received
3:59:35 PM.345;LED4 (Red 1): OFF\r\n;received
3:59:35 PM.361;LED5 (Red 2): OFF\r\n;received
3:59:35 PM.376;--------------------\r\n;received
3:59:36 PM.402;Distance: 0 cm\r\n;received
3:59:36 PM.418;LED1 (Green 1): OFF\r\n;received
3:59:36 PM.432;LED2 (Green 2): OFF\r\n;received
3:59:36 PM.465;LED3 (Yellow): OFF\r\n;received
3:59:36 PM.481;LED4 (Red 1): OFF\r\n;received
3:59:36 PM.496;LED5 (Red 2): ON\r\n;received
3:59:36 PM.529;--------------------\r\n;received
3:59:37 PM.522;Distance: 46 cm\r\n;received
3:59:37 PM.553;LED1 (Green 1): ON\r\n;received
3:59:37 PM.569;LED2 (Green 2): OFF\r\n;received
3:59:37 PM.585;LED3 (Yellow): OFF\r\n;received
3:59:37 PM.601;LED4 (Red 1): OFF\r\n;received
3:59:37 PM.632;LED5 (Red 2): OFF\r\n;received
3:59:37 PM.649;--------------------\r\n;received
3:59:38 PM.657;Distance: 47 cm\r\n;received
3:59:38 PM.673;LED1 (Green 1): ON\r\n;received
3:59:38 PM.708;LED2 (Green 2): OFF\r\n;received
3:59:38 PM.721;LED3 (Yellow): OFF\r\n;received
3:59:38 PM.737;LED4 (Red 1): OFF\r\n;received
3:59:38 PM.753;LED5 (Red 2): OFF\r\n;received
3:59:38 PM.785;--------------------\r\n;received
3:59:39 PM.793;Distance: 0 cm\r\n;received
3:59:39 PM.810;LED1 (Green 1): OFF\r\n;received
3:59:39 PM.841;LED2 (Green 2): OFF\r\n;received
3:59:39 PM.857;LED3 (Yellow): OFF\r\n;received
3:59:39 PM.873;LED4 (Red 1): OFF\r\n;received
3:59:39 PM.889;LED5 (Red 2): ON\r\n;received
3:59:39 PM.921;--------------------\r\n;received
3:59:40 PM.930;Distance: 0 cm\r\n;received
3:59:40 PM.961;LED1 (Green 1): OFF\r\n;received
3:59:40 PM.977;LED2 (Green 2): OFF\r\n;received
3:59:40 PM.993;LED3 (Yellow): OFF\r\n;received
3:59:41 PM.9;LED4 (Red 1): OFF\r\n;received
3:59:41 PM.41;LED5 (Red 2): ON\r\n;received
3:59:41 PM.57;--------------------\r\n;received
3:59:42 PM.66;Distance: 0 cm\r\n;received
3:59:42 PM.97;LED1 (Green 1): OFF\r\n;received
3:59:42 PM.113;LED2 (Green 2): OFF\r\n;received
3:59:42 PM.129;LED3 (Yellow): OFF\r\n;received
3:59:42 PM.161;LED4 (Red 1): OFF\r\n;received
3:59:42 PM.177;LED5 (Red 2): ON\r\n;received
3:59:42 PM.193;--------------------\r\n;received
3:59:43 PM.201;Distance: 41 cm\r\n;received
3:59:43 PM.217;LED1 (Green 1): ON\r\n;received
3:59:43 PM.250;LED2 (Green 2): OFF\r\n;received
3:59:43 PM.265;LED3 (Yellow): OFF\r\n;received
3:59:43 PM.281;LED4 (Red 1): OFF\r\n;received
3:59:43 PM.313;LED5 (Red 2): OFF\r\n;received
3:59:43 PM.329;--------------------\r\n;received
3:59:44 PM.338;Distance: 41 cm\r\n;received
3:59:44 PM.353;LED1 (Green 1): ON\r\n;received
3:59:44 PM.369;LED2 (Green 2): OFF\r\n;received
3:59:44 PM.401;LED3 (Yellow): OFF\r\n;received
3:59:44 PM.417;LED4 (Red 1): OFF\r\n;received
3:59:44 PM.433;LED5 (Red 2): OFF\r\n;received
3:59:44 PM.449;--------------------\r\n;received
3:59:45 PM.458;Distance: 38 cm\r\n;received
3:59:45 PM.490;LED1 (Green 1): OFF\r\n;received
3:59:45 PM.504;LED2 (Green 2): ON\r\n;received
3:59:45 PM.521;LED3 (Yellow): OFF\r\n;received
3:59:45 PM.537;LED4 (Red 1): OFF\r\n;received
3:59:45 PM.569;LED5 (Red 2): OFF\r\n;received
3:59:45 PM.585;--------------------\r\n;received
3:59:46 PM.594;Distance: 34 cm\r\n;received
3:59:46 PM.609;LED1 (Green 1): OFF\r\n;received
3:59:46 PM.641;LED2 (Green 2): ON\r\n;received
3:59:46 PM.657;LED3 (Yellow): OFF\r\n;received
3:59:46 PM.673;LED4 (Red 1): OFF\r\n;received
3:59:46 PM.689;LED5 (Red 2): OFF\r\n;received
3:59:46 PM.721;--------------------\r\n;received
3:59:47 PM.713;Distance: 36 cm\r\n;received
3:59:47 PM.745;LED1 (Green 1): OFF\r\n;received
3:59:47 PM.761;LED2 (Green 2): ON\r\n;received
3:59:47 PM.777;LED3 (Yellow): OFF\r\n;received
3:59:47 PM.809;LED4 (Red 1): OFF\r\n;received
3:59:47 PM.825;LED5 (Red 2): OFF\r\n;received
3:59:47 PM.840;--------------------\r\n;received
3:59:48 PM.850;Distance: 31 cm\r\n;received
3:59:48 PM.865;LED1 (Green 1): OFF\r\n;received
3:59:48 PM.898;LED2 (Green 2): ON\r\n;received
3:59:48 PM.912;LED3 (Yellow): OFF\r\n;received
3:59:48 PM.929;LED4 (Red 1): OFF\r\n;received
3:59:48 PM.945;LED5 (Red 2): OFF\r\n;received
3:59:48 PM.977;--------------------\r\n;received
3:59:49 PM.969;Distance: 32 cm\r\n;received
3:59:50 PM.1;LED1 (Green 1): OFF\r\n;received
3:59:50 PM.17;LED2 (Green 2): ON\r\n;received
3:59:50 PM.49;LED3 (Yellow): OFF\r\n;received
3:59:50 PM.65;LED4 (Red 1): OFF\r\n;received
3:59:50 PM.81;LED5 (Red 2): OFF\r\n;received
3:59:50 PM.97;--------------------\r\n;received
3:59:51 PM.105;Distance: 26 cm\r\n;received
3:59:51 PM.121;LED1 (Green 1): OFF\r\n;received
3:59:51 PM.153;LED2 (Green 2): OFF\r\n;received
3:59:51 PM.169;LED3 (Yellow): ON\r\n;received
3:59:51 PM.185;LED4 (Red 1): OFF\r\n;received
3:59:51 PM.217;LED5 (Red 2): OFF\r\n;received
3:59:51 PM.233;--------------------\r\n;received
3:59:52 PM.241;Distance: 26 cm\r\n;received
3:59:52 PM.257;LED1 (Green 1): OFF\r\n;received
3:59:52 PM.274;LED2 (Green 2): OFF\r\n;received
3:59:52 PM.305;LED3 (Yellow): ON\r\n;received
3:59:52 PM.321;LED4 (Red 1): OFF\r\n;received
